index,id,group_id,phase_id,trial_phase
751,7,2,4,7
752,7,2,4,8
753,7,2,4,9
754,7,2,4,10
755,7,2,4,11
756,7,2,4,12
757,8,1,0,1
758,8,1,0,2
759,8,1,0,3
760,8,1,0,4
761,8,1,0,5
762,8,1,0,6
763,8,1,0,7
764,8,1,0,8
765,8,1,0,9
766,8,1,0,10
767,8,1,0,11
768,8,1,0,12
769,8,1,2,1
770,8,1,2,2
771,8,1,2,3
772,8,1,2,4
773,8,1,2,5
774,8,1,2,6
775,8,1,2,7
776,8,1,2,8
777,8,1,2,9
778,8,1,2,10
779,8,1,2,11
780,8,1,2,12
781,8,1,2,13
782,8,1,2,14
783,8,1,2,15
784,8,1,2,16
785,8,1,2,17
786,8,1,2,18
787,8,1,2,19
788,8,1,2,20
789,8,1,2,21
790,8,1,2,22
791,8,1,2,23
792,8,1,2,24
793,8,1,2,25
794,8,1,2,26
795,8,1,2,27
796,8,1,2,28
797,8,1,2,29
798,8,1,2,30
799,8,1,2,31
800,8,1,2,32
801,8,1,2,33
802,8,1,2,34
803,8,1,2,35
804,8,1,2,36
805,8,1,2,37
806,8,1,2,38
807,8,1,2,39
808,8,1,2,40
809,8,1,2,41
810,8,1,2,42
811,8,1,2,43
812,8,1,2,44
813,8,1,2,45
814,8,1,2,46
815,8,1,2,47
816,8,1,2,48
817,8,1,2,49
818,8,1,2,50
819,8,1,2,51
820,8,1,2,52
821,8,1,2,53
822,8,1,2,54
823,8,1,2,55
824,8,1,2,56
825,8,1,2,57
826,8,1,2,58
827,8,1,2,59
828,8,1,2,60
829,8,1,2,61
830,8,1,2,62
831,8,1,2,63
832,8,1,2,64
833,8,1,2,65
834,8,1,2,66
835,8,1,2,67
836,8,1,2,68
837,8,1,2,69
838,8,1,2,70
839,8,1,2,71
840,8,1,2,72
841,8,1,3,1
842,8,1,3,2
843,8,1,3,3
844,8,1,3,4
845,8,1,3,5
846,8,1,3,6
847,8,1,3,7
848,8,1,3,8
849,8,1,3,9
850,8,1,3,10
851,8,1,3,11
852,8,1,3,12
853,8,1,4,1
854,8,1,4,2
855,8,1,4,3
856,8,1,4,4
857,8,1,4,5
858,8,1,4,6
859,8,1,4,7
860,8,1,4,8
861,8,1,4,9
862,8,1,4,10
863,8,1,4,11
864,8,1,4,12
865,9,2,0,1
866,9,2,0,2
867,9,2,0,3
868,9,2,0,4
869,9,2,0,5
870,9,2,0,6
871,9,2,0,7
872,9,2,0,8
873,9,2,0,9
874,9,2,0,10
875,9,2,0,11
876,9,2,0,12
877,9,2,2,1
878,9,2,2,2
879,9,2,2,3
880,9,2,2,4
881,9,2,2,5
882,9,2,2,6
883,9,2,2,7
884,9,2,2,8
885,9,2,2,9
886,9,2,2,10
887,9,2,2,11
888,9,2,2,12
889,9,2,2,13
890,9,2,2,14
891,9,2,2,15
892,9,2,2,16
893,9,2,2,17
894,9,2,2,18
895,9,2,2,19
896,9,2,2,20
897,9,2,2,21
898,9,2,2,22
899,9,2,2,23
900,9,2,2,24
901,9,2,2,25
902,9,2,2,26
903,9,2,2,27
904,9,2,2,28
905,9,2,2,29
906,9,2,2,30
907,9,2,2,31
908,9,2,2,32
909,9,2,2,33
910,9,2,2,34
911,9,2,2,35
912,9,2,2,36
913,9,2,2,37
914,9,2,2,38
915,9,2,2,39
916,9,2,2,40
917,9,2,2,41
918,9,2,2,42
919,9,2,2,43
920,9,2,2,44
921,9,2,2,45
922,9,2,2,46
923,9,2,2,47
924,9,2,2,48
925,9,2,2,49
926,9,2,2,50
927,9,2,2,51
928,9,2,2,52
929,9,2,2,53
930,9,2,2,54
931,9,2,2,55
932,9,2,2,56
933,9,2,2,57
934,9,2,2,58
935,9,2,2,59
936,9,2,2,60
937,9,2,2,61
938,9,2,2,62
939,9,2,2,63
940,9,2,2,64
941,9,2,2,65
942,9,2,2,66
943,9,2,2,67
944,9,2,2,68
945,9,2,2,69
946,9,2,2,70
947,9,2,2,71
948,9,2,2,72
949,9,2,3,1
950,9,2,3,2
951,9,2,3,3
952,9,2,3,4
953,9,2,3,5
954,9,2,3,6
955,9,2,3,7
956,9,2,3,8
957,9,2,3,9
958,9,2,3,10
959,9,2,3,11
960,9,2,3,12
961,9,2,4,1
962,9,2,4,2
963,9,2,4,3
964,9,2,4,4
965,9,2,4,5
966,9,2,4,6
967,9,2,4,7
968,9,2,4,8
969,9,2,4,9
970,9,2,4,10
971,9,2,4,11
972,9,2,4,12
973,10,2,0,1
974,10,2,0,2
975,10,2,0,3
976,10,2,0,4
977,10,2,0,5
978,10,2,0,6
979,10,2,0,7
980,10,2,0,8
981,10,2,0,9
982,10,2,0,10
983,10,2,0,11
984,10,2,0,12
985,10,2,2,1
986,10,2,2,2
987,10,2,2,3
988,10,2,2,4
989,10,2,2,5
990,10,2,2,6
991,10,2,2,7
992,10,2,2,8
993,10,2,2,9
994,10,2,2,10
995,10,2,2,11
996,10,2,2,12
997,10,2,2,13
998,10,2,2,14
999,10,2,2,15
1000,10,2,2,16
1001,10,2,2,17
1002,10,2,2,18
1003,10,2,2,19
1004,10,2,2,20
1005,10,2,2,21
1006,10,2,2,22
1007,10,2,2,23
1008,10,2,2,24
1009,10,2,2,25
1010,10,2,2,26
1011,10,2,2,27
1012,10,2,2,28
1013,10,2,2,29
1014,10,2,2,30
1015,10,2,2,31
1016,10,2,2,32
1017,10,2,2,33
1018,10,2,2,34
1019,10,2,2,35
1020,10,2,2,36
1021,10,2,2,37
1022,10,2,2,38
1023,10,2,2,39
1024,10,2,2,40
1025,10,2,2,41
1026,10,2,2,42
1027,10,2,2,43
1028,10,2,2,44
1029,10,2,2,45
1030,10,2,2,46
1031,10,2,2,47
1032,10,2,2,48
1033,10,2,2,49
1034,10,2,2,50
1035,10,2,2,51
1036,10,2,2,52
1037,10,2,2,53
1038,10,2,2,54
